label;label;value
aaien;Valence_ANEW;0.199999809265137
aaien;Arousal_ANEW;-1.02999997138977
aaien;Dominance_ANEW;-1.55999994277954
aal;Valence_ANEW;-1.57999992370605
aal;Arousal_ANEW;-1.09999990463257
aal;Dominance_ANEW;-1.55999994277954
aalmoes;Valence_ANEW;-1.70000004768372
aalmoes;Arousal_ANEW;-1.90000009536743
aalmoes;Dominance_ANEW;-2.19000005722046
aandachtig;Valence_ANEW;0.300000190734863
aandachtig;Arousal_ANEW;-0.119999885559082
aandachtig;Dominance_ANEW;-0.119999885559082
aangenaam;Valence_ANEW;0.940000057220459
aangenaam;Arousal_ANEW;-1.27999997138977
aangenaam;Dominance_ANEW;-0.329999923706055
aanslag;Valence_ANEW;-3.12000000476837
aanslag;Arousal_ANEW;1.05999994277954
aanslag;Dominance_ANEW;0.659999847412109
aanstoot;Valence_ANEW;-1.95000004768372
aanstoot;Arousal_ANEW;-0.139999866485596
aanstoot;Dominance_ANEW;-0.380000114440918
aanstotelijk;Valence_ANEW;-1.83999991416931
aanstotelijk;Arousal_ANEW;0.0300002098083496
aanstotelijk;Dominance_ANEW;-0.559999942779541
aantrekkelijk;Valence_ANEW;1.19000005722046
aantrekkelijk;Arousal_ANEW;-0.139999866485596
aantrekkelijk;Dominance_ANEW;0.28000020980835
aanval;Valence_ANEW;-2.41000008583069
aanval;Arousal_ANEW;0.889999866485596
aanval;Dominance_ANEW;0.380000114440918
aanvallen;Valence_ANEW;-2.07999992370605
aanvallen;Arousal_ANEW;1.28000020980835
aanvallen;Dominance_ANEW;0.559999942779541
aanvallend;Valence_ANEW;-2.14000010490417
aanvallend;Arousal_ANEW;0.940000057220459
aanvallend;Dominance_ANEW;0.630000114440918
aanwinst;Valence_ANEW;0.699999809265137
aanwinst;Arousal_ANEW;-0.550000190734863
aanwinst;Dominance_ANEW;-0.0900001525878906
aanzien;Valence_ANEW;0.0900001525878906
aanzien;Arousal_ANEW;-0.889999866485596
aanzien;Dominance_ANEW;-0.300000190734863
